mode,issue_hour,lead_hour_bin,subset,points,independent_days,crps,coverage,width,interval_score,mae,raw_mae,center_mae,rmse,raw_rmse,center_rmse
binned,12,7,daylight,1024,334,24.158079766418304,0.6875,100.73094190105714,190.35147781257416,33.469266697657204,142.57159215494798,124.09552778370191,52.11600018126273,184.9740689814124,163.85913285107455
binned,12,7,zero_pv,980,314,7.888481659760621,0.7755102040816326,16.436404521570168,61.45342342225918,10.951073459046158,45.83799498299324,38.0567052279513,33.928771866069106,96.12964104903482,84.91282188038033
binned,12,8,all,2004,334,0.202664702339397,0.8233532934131736,0.5290331337616394,1.3250299460488535,0.2895622119344148,0.24623056387225548,0.4117776657370744,0.5995479304071815,0.8913631419658515,0.8872344231591862
binned,12,8,daylight,473,268,0.3505524273303761,0.5919661733615222,0.8563467248196559,2.5110166812952595,0.4563227536452981,0.625630549682875,0.8328277708151334,0.8583814309162737,1.2772528172964637,1.5004241003590502
binned,12,8,zero_pv,1531,334,0.15697502636243216,0.8948399738732854,0.427910123591527,0.9586212420831127,0.23804180943327302,0.12901554539516655,0.28169490956338245,0.49282111979194776,0.7321105526126671,0.5786686557224259
binned,12,9,all,2004,334,0.10784269440428457,0.8627744510978044,0.21519919588368294,0.6564521440536056,0.1483131839135609,0.0008088822355289424,0.25121693719416005,0.3460838895175808,0.0035939903265125614,0.5486131432543374
binned,12,9,daylight,199,140,0.003548422054254896,0.5125628140703518,0.008041371605116697,0.02618215940345934,0.00449032226584408,0.008145728643216084,0.008145728643216084,0.006528989698029124,0.011405103327438456,0.011405103327438456
binned,12,9,zero_pv,1805,334,0.11934106570492485,0.9013850415512465,0.23803820254929778,0.7259389733862256,0.164169554809902,0.0,0.27801536960503975,0.36465650401620203,0.0,0.5780523139715598
binned,12,10,all,2004,334,0.10736569692649277,0.9131736526946108,0.21360020622909504,0.652961217968678,0.14759386365959004,0.0,0.2504080549586311,0.34607467377444995,0.0,0.5486013709287801
binned,12,10,zero_pv,2004,334,0.10736569692649277,0.9131736526946108,0.21360020622909504,0.652961217968678,0.14759386365959004,0.0,0.2504080549586311,0.34607467377444995,0.0,0.5486013709287801
binned,12,11,all,2004,334,0.10736569692649277,0.9131736526946108,0.21360020622909504,0.652961217968678,0.14759386365959004,0.0,0.2504080549586311,0.34607467377444995,0.0,0.5486013709287801
binned,12,11,zero_pv,2004,334,0.10736569692649277,0.9131736526946108,0.21360020622909504,0.652961217968678,0.14759386365959004,0.0,0.2504080549586311,0.34607467377444995,0.0,0.5486013709287801
